Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
"Автомузей ""Моторы Октября""",Музеи,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,http://automuseum.ru/,8 (495) 988-80-40,Самокатная улица+++ 4+++ стр. 34,55.7548333,37.6741806
"Армянский музей ""ТАПАН""",Музеи,None,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,https://vk.com/muzem_tapan,None,Олимпийский проспект+++ 9,55.7880389,37.6210972
Армянский музей Москвы и культуры наций,Музеи,None,None,None,None,None,None,None,https://www.armmuseum.ru/,8 (495) 797-67-04,Проспект Мира+++ д. 33+++ стр. 1,55.7803944,37.6318
АРТ-Измайлово,Выставочные центры,None,None,12.00-19.00,12.00-21.00,12.00-19.00,12.00-18.00,12.00-18.00,http://art-izmaylovo.ru,8 (499) 367-45-81,Измайловский бульвар+++ д.30,55.7960472,37.7955444
"Арт-парк ""Символ""",Выставочные центры,None,None,None,None,None,None,None,http://simvol-art.com/,None,ул. Золоторожский Вал+++ д.11+++ корп. 20,55.7481028,37.6845861
"Арт-центр ""Ветошный""",Выставочные центры,11.00-24.00,11.00-24.00,11.00-24.00,11.00-24.00,11.00-24.00,11.00-24.00,11.00-24.00,http://vetoshny.ru/,8 (495) 909-00-90+++ доб. 159,Ветошный пер.+++ 13,55.7551917,37.6224722
Арт-центр Солнцево,Выставочные центры,None,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,http://vzmoscow.ru/,8 (495) 435-66-24,Богданова ул.+++ д.44,55.6513583,37.3963833
АртКоминтерн,Выставочные центры,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,http://artkomintern.ru/,8 (495) 724-56-31,Пречистенка ул.+++ д. 30,55.741475,37.5917667
Биологический музей им. Тимирязева,Музеи,None,None,None,None,None,None,None,None,None,Мал. Грузинская ул.+++ д. 15,55.7675333,37.5724417
Большой Московский государственный цирк на проспекте Вернадского,Цирки+++ зоопарки+++ океанариумы,10.30-19.30,10.30-19.30,10.30-19.30,10.30-19.30,10.30-19.30,10.30-19.30,10.30-19.30,http://www.bolshoicircus.ru/,8 (495) 930-03-00+++ 8 (495) 939-45-47,Проспект Вернадского+++ 7,55.6944694,37.5402111
