Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернете,Контактный Телефон,Адрес,Долгота,Широта,Круглосуточно
Аничков Дворец,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,www.anichkov.ru,+7 (812) 310-93-80,"191011, Санкт-Петербург, Невский просп., 39 лит. А",59.932722999999996,30.341459000000004,0
Воскресенский Новодевичий монастырь,Музеи,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,вноводевичий.рф,+7 (812) 252-11-66,"196084, Санкт-Петербург, Московский пр., 100 к.2",59.89853000000001,30.322101,0
Музей Дома Радио,Музеи,None,None,None,None,None,None,None,нет данных,None,"191023, Санкт-Петербург, ул. Малая Садовая, 2/27",59.935402,30.33857,0
Зимний дворец,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,hermitagemuseum.org,+7(812)710976,"Санкт-Петербург, пл. Дворцовая, 2",59.93974100000001,30.314803,0
Смольный институт благородных девиц,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,http://www.visit-petersburg.ru/ru/leisure/194704/,+7(812)5767746,"191124, Санкт-Петербург, Смольный проезд, 1",59.946163,30.396433000000002,0
Исаакиевский собор,Музеи,None,None,None,None,None,None,None,www.cathedral.ru,+7(812)3159732,"Санкт-Петербург, Исаакиевская площадь, 4",59.934039,30.306129,0
Казанский Кафедральный Собор,Музеи,08.30-20.00,08.30-20.00,08.30-20.00,08.30-20.00,08.30-20.00,08.30-20.00,08.30-20.00,www.kazansky-spb.ru,+7(812)3145856,"Санкт-Петербург, Казанская пл., 2",59.934387,30.324738,0
Михайловский замок,Музеи,None,None,None,None,None,None,None,rusmuseum.ru,+7(812)5954248,"Санкт-Петербург, Садовая улица, 2",59.93989000000001,30.33775300000001,0
Музей антропологии и этнографии имени Петра Великого Российской Академии Наук (Кунсткамера),Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,www.kunstkamera.ru,+7(812)3281412,"Санкт-Петербург, Университетская наб., 3",59.941442,30.304543,0
Новый Эрмитаж,Музеи,None,None,None,None,None,None,None,http://www.hermitagemuseum.org/,+7(812)7109079,"Санкт-Петербург, Миллионная улица, 35",59.941140000000004,30.317611,0
Особняк Румянцева,Музеи,None,None,None,None,None,None,None,www.spbmuseum.ru,+7(812)5717544,"190000, Санкт-Петербург, Английская наб., 44",59.94251600000001,30.278274,0
Петропавловская крепость,Музеи,None,None,None,None,None,None,None,www.spbmuseum.ru,+7(812)2306431,"Санкт-Петербург, Петропавловская крепость",59.950111,30.315128,0
Свято-Троицкая Александро-Невская лавра,Музеи,None,None,None,None,None,None,None,www.lavra.spb.ru,+7(812)2741113,"191167, Санкт-Петербург, наб. реки Монастырки, 1",59.921038,30.388737,0
